1	1974884
2	1974403
3	2026736
4	1974404
5	1975084
6	2014308
7	1975524
8	2014309
9	1974453
10	1974045
11	1973972
12	2026735
13	1977087
14	2282155
15	60893
16	2282155
17	2026735
18	1805277
19	1974108
20	1977087
21	1801766
22	1798588
23	1798587
24	1802207
25	1802214
26	2762014
27	2053617
28	2053617
29	2053617
30	1798388
31	1798392
32	1797513
33	1802503
34	1801820
35	2035772
36	2035772
37	2035772
38	2035772
39	1802319
40	1798471
41	1802300
42	1797253
43	1802448
44	2052139
45	77133
46	1801916
47	1798410
48	1797536
49	1802118
50	1869227
51	1974406
52	2026736
53	2250274
54	1906665
55	1974457
56	2026803
57	2026803
58	1974495
59	1974444
60	2883576
61	1974618
62	1975096
63	1974784
64	1974646
65	1974463
66	1974561
67	1974583
68	1974551
69	1974513
70	1974539
71	1975115
72	1974725
73	1974540
74	2052139
75	1974567
76	1974568
77	1974514
78	1974864
79	1974464
80	1974585
81	1974607
82	2052139
83	2052139
84	2053589
85	2052139
86	2052139
87	2052139
88	2030810
89	2053589
90	1974417
91	1973927
92	1975098
93	1974726
94	2750078
95	1974652
96	1974608
97	1975037
98	1974587
99	1974609
100	1975045
101	1974791
102	1974772
103	1974634
104	1974653
105	2052152
106	1973900
107	1973957
108	1973974
109	1974023
110	1973975
111	1973976
112	1974750
113	1973924
114	1974047
115	1898104
116	2614255
117	1974580
118	1925589
119	2025587
120	1655638
121	1879010
122	1286364
123	1802735
124	1802734
125	1802689
126	1797193
127	1978231
128	1978231
129	2080302
130	2847862
131	1978231
132	2043164
133	2044939
134	1879010
135	165186
136	1805026
137	1805199
138	1913989
139	1913989
140	1913989
141	1913989
142	1913989
143	1913989
144	1913989
145	1977087
146	1977087
147	1977087
148	1977087
149	1913989
150	1913989
151	1913989
152	1977087
153	1977087
154	1977087
155	1977087
156	1977087
157	1977087
158	1977087
159	1977087
160	1977087
161	1977087
162	1977087
163	1977087
164	1977087
165	1977087
166	1977087
167	1977087
168	1977087
169	1977087
170	1977087
171	1977087
172	1977087
173	1977087
174	1977087
175	1977087
176	1977087
177	1977087
178	1977087
179	1977087
180	1977087
181	1977087
182	1803496
183	2900548
184	2900548
185	2900548
186	297314
187	1898203
188	1235790
189	1261634
190	1898203
191	1898203
192	1898203
193	1898203
194	297314
195	142586
196	1898203
197	1898203
198	1898203
199	1898203
200	1898203
201	1898203
202	1898203
203	1898203
204	297314
205	1898203
206	297314
207	1898203
208	297314
209	297314
210	297314
211	297314
212	1898203
213	297314
214	297314
215	297314
216	1898203
217	1898203
218	297314
219	1898203
220	297314
221	297314
222	297314
223	297314
224	1970490
225	1977087
226	2709382
227	2763502
228	2786961
229	2026747
230	2026747
231	1898203
232	1898203
233	142586
234	1898203
235	1898203
236	1898203
237	142586
238	2049040
239	297314
240	297314
241	297314
242	297314
