45	Bacteria	Patescibacteria	Paceibacteria	Paceibacterales	UBA10102	01-FULL-49-22b	01-FULL-49-22b sp913054235
46	Bacteria	Patescibacteria	Gracilibacteria	Peribacterales	Peribacteraceae	01-FULL-54-110	01-FULL-54-110 sp001789045
47	Bacteria	Patescibacteria	Paceibacteria	UBA6257	02-FULL-45-10c	02-FULL-45-10c	02-FULL-45-10c sp001818705
48	Bacteria	Patescibacteria	ABY1	Buchananbacterales	UBA6539	02-FULL-45-11b	02-FULL-45-11b sp001817615
49	Bacteria	Patescibacteria	Paceibacteria	Ryanbacterales	2-02-FULL-48-12	02-FULL-45-17b	02-FULL-45-17b sp001819815
50	Bacteria	Patescibacteria	Paceibacteria	Ryanbacterales	2-02-FULL-48-12	02-FULL-45-17b	02-FULL-45-17b sp005239605
51	Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	1-14-0-10-31-34	1-14-0-10-31-34	1-14-0-10-31-34 sp002763225
52	Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	1-14-0-10-31-34	1-14-0-10-31-34	1-14-0-10-31-34 sp017609625
53	Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	1-14-0-10-31-34	1-14-0-10-31-34	1-14-0-10-31-34 sp018829335
54	Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	1-14-0-10-31-34	1-14-0-10-31-34	1-14-0-10-31-34 sp024277355
55	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR9	1-14-0-10-32-24	1-14-0-10-32-24 sp002763025
56	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR9	1-14-0-10-32-24	1-14-0-10-32-24 sp013204355
57	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR9	1-14-0-10-32-24	1-14-0-10-32-24 sp018655525
58	Bacteria	Patescibacteria	Microgenomatia	UBA1400	UBA1400	1-14-0-10-34-10	1-14-0-10-34-10 sp002773945
